nombre_sensor,fecha_hora,valor_medicion
HUM_AMB_2M,2026-06-01 07:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 07:00:00+00:00,96.55
HUM_SUELO_01,2026-06-01 07:00:00+00:00,66.0
HUM_SUELO_02,2026-06-01 07:00:00+00:00,45.68
HUM_SUELO_03,2026-06-01 07:00:00+00:00,48.16
HUM_SUELO_04,2026-06-01 07:00:00+00:00,51.2
LUZ,2026-06-01 07:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 07:00:00+00:00,11.13
TEMP_AMB_40CM,2026-06-01 07:00:00+00:00,11.31
TEMP_SUELO_01,2026-06-01 07:00:00+00:00,12.66
TEMP_SUELO_02,2026-06-01 07:00:00+00:00,11.25
HUM_AMB_2M,2026-06-01 06:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 06:00:00+00:00,96.57
HUM_SUELO_01,2026-06-01 06:00:00+00:00,66.0
HUM_SUELO_02,2026-06-01 06:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 06:00:00+00:00,48.56
HUM_SUELO_04,2026-06-01 06:00:00+00:00,51.76
LUZ,2026-06-01 06:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 06:00:00+00:00,10.99
TEMP_AMB_40CM,2026-06-01 06:00:00+00:00,11.17
TEMP_SUELO_01,2026-06-01 06:00:00+00:00,12.76
TEMP_SUELO_02,2026-06-01 06:00:00+00:00,11.25
HUM_AMB_2M,2026-06-01 05:00:00+00:00,100.0
HUM_AMB_40CM,2026-06-01 05:00:00+00:00,96.56
HUM_SUELO_01,2026-06-01 05:00:00+00:00,66.0
HUM_SUELO_02,2026-06-01 05:00:00+00:00,46.0
HUM_SUELO_03,2026-06-01 05:00:00+00:00,48.64
HUM_SUELO_04,2026-06-01 05:00:00+00:00,51.92
LUZ,2026-06-01 05:00:00+00:00,0.0
TEMP_AMB_2M,2026-06-01 05:00:00+00:00,10.68
TEMP_AMB_40CM,2026-06-01 05:00:00+00:00,10.87
TEMP_SUELO_01,2026-06-01 05:00:00+00:00,12.9
